Nombre,Paquete,LOC,Resultado,Linea en clase,Destino
M:define(org.sonar.api.web.page.Context),config.web.PluginPageDefinition,4,void,12,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:define(org.sonar.api.web.page.Context),config.web.PluginPageDefinition,4,void,12,(S)tools.PluginStringManager:getProperty(java.lang.String)
M:values(),configuration.API,0,configuration.API[],2,(M)configuration.API[]:clone()
M:<clinit>(),configuration.API,6,void,4,"(O)configuration.API:<init>(java.lang.String,int,java.lang.String)"
M:<clinit>(),configuration.API,6,void,4,"(O)configuration.API:<init>(java.lang.String,int,java.lang.String)"
M:<clinit>(),configuration.API,6,void,4,(M)configuration.API:getCall()
M:<clinit>(),configuration.API,6,void,4,"(O)configuration.API:<init>(java.lang.String,int,java.lang.String)"
M:<clinit>(),configuration.API,6,void,4,(M)configuration.API:getCall()
M:<clinit>(),configuration.API,6,void,4,"(O)configuration.API:<init>(java.lang.String,int,java.lang.String)"
M:<clinit>(),configuration.API,6,void,4,"(O)configuration.API:<init>(java.lang.String,int,java.lang.String)"
M:<clinit>(),configuration.API,6,void,4,"(O)configuration.API:<init>(java.lang.String,int,java.lang.String)"
"M:<init>(boolean,java.lang.String)",configuration.ExportConfiguration,4,void,12,(M)configuration.ExportConfiguration:setOutput(java.lang.String)
M:create(java.lang.String[]),configuration.ExportConfiguration,5,configuration.ExportConfiguration,23,(O)utils.CommandLineManager:<init>()
M:create(java.lang.String[]),configuration.ExportConfiguration,5,configuration.ExportConfiguration,23,(M)utils.CommandLineManager:parse(java.lang.String[])
M:create(java.lang.String[]),configuration.ExportConfiguration,5,configuration.ExportConfiguration,23,(M)utils.CommandLineManager:hasOption(java.lang.String)
M:create(java.lang.String[]),configuration.ExportConfiguration,5,configuration.ExportConfiguration,23,(S)utils.StringManager:getProperty(java.lang.String)
M:create(java.lang.String[]),configuration.ExportConfiguration,5,configuration.ExportConfiguration,23,"(M)utils.CommandLineManager:getOptionValue(java.lang.String,java.lang.String)"
M:create(java.lang.String[]),configuration.ExportConfiguration,5,configuration.ExportConfiguration,23,"(O)configuration.ExportConfiguration:<init>(boolean,java.lang.String)"
M:<init>(),configuration.ReportCommandLine$1,4,void,54,(M)configuration.ReportCommandLine$1:add(java.lang.Object)
M:<init>(),configuration.ReportCommandLine$1,4,void,54,(M)configuration.ReportCommandLine$1:add(java.lang.Object)
M:<init>(),configuration.ReportCommandLine$1,4,void,54,(M)configuration.ReportCommandLine$1:add(java.lang.Object)
M:<init>(),configuration.ReportCommandLine$2,2,void,61,(M)configuration.ReportCommandLine$2:add(java.lang.Object)
"M:main(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,5,void,33,"(S)configuration.ReportCommandLine:execute(java.lang.String[],java.lang.String[])"
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(O)configuration.ReportConfiguration:<init>()
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(M)configuration.ReportConfiguration:create(java.lang.String[])
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(O)configuration.ExportConfiguration:<init>()
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(M)configuration.ExportConfiguration:create(java.lang.String[])
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(S)configuration.SonarRequestList:getSonarRequestList()
"M:execute(java.lang.String[],java.lang.String[])",configuration.ReportCommandLine,14,void,44,(M)configuration.SonarRequestList:setExportConfiguration(configuration.ExportConfiguration)
