file,class,method,variable,usage
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,add/1[java.lang.String],calledMap,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,getCalledfromlist/0,calledFromList,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,getCalledMap/0,calledMap,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,"addToList/2[java.lang.String,java.lang.String]",calledMap,4
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,CalledFromList/0,calledMap,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitMethod/1[callgraph.Method],methodCalls,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitMethod/1[callgraph.Method],constants,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitMethod/1[callgraph.Method],clazz,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,ClassVisitor/1[callgraph.JavaClass],classReferenceFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,ClassVisitor/1[callgraph.JavaClass],constants,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,ClassVisitor/1[callgraph.JavaClass],clazz,4
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitJavaClass/1[callgraph.JavaClass],DCManager,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,getPackage/0,clazz,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,getMethodGen/1[java.lang.String],methodGenList,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,start/0,clazz,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,getMethodGenList/0,methodGenList,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,methodCalls/0,methodCalls,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,setMethodGenList/1[java.util.List<callgraph.MethodGen>],methodGenList,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],dynamicCallers,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,getDynamicCallers/0,dynamicCallers,1
