file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\anonymAndInner\AnonymAndInnerTest.java,anonymAndInner.AnonymAndInnerTest,class,6,5,1,11,10,0.0,0.0,5,1,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,0,3,0,3,0,3,0,2,0,0,19,1,3
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\anonymAndInner\AnonymAndInnerTest.java,anonymAndInner.AnonymAndInnerTest$Anonymous2,anonymous,2,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\anonymAndInner\AnonymAndInnerTest.java,anonymAndInner.AnonymAndInnerTest$Anonymous1,anonymous,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\anonymAndInner\Outer.java,anonymAndInner.Outer$Inner,innerclass,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\anonymAndInner\Outer.java,anonymAndInner.Outer$Nested,innerclass,1,2,1,1,1,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,9,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\anonymAndInner\Outer.java,anonymAndInner.Outer,class,2,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\CallGraphTest.java,CallGraphTest,class,7,1,1,7,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\dynamic\DynamicTest.java,dynamic.DynamicTest,class,3,6,1,14,6,0.0,0.0,4,1,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,5,34,0,0,0,2,0,8,0,4,0,4,1,0,0,0,35,1,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\generics\Generic1.java,generics.Generic1,class,3,1,1,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\generics\Generic2.java,generics.Generic2,class,5,1,1,3,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\generics\Generic3.java,generics.Generic3,class,3,1,2,2,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\generics\GenericsTest.java,generics.GenericsTest,class,9,3,1,8,3,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,2,0,3,0,3,0,0,0,0,14,1,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Abstract.java,helper.Abstract,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Base.java,helper.Base,class,1,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Child1.java,helper.Child1,class,3,3,2,1,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,1,3
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Child2.java,helper.Child2,class,3,2,2,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,2
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Child3.java,helper.Child3,class,2,1,3,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Debug.java,helper.Debug,class,0,2,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,1,0
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\helper\Interface.java,helper.Interface,interface,1,3,1,1,3,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1
D:\UNIVERSIDAD\TFG\Repositorio\JCG_comparison\ExampleProject\src\initialization\Constructor.java,initialization.Constructor,class,2,3,1,2,3,0.0,0.0,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1
