file,class,method,variable,usage
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method006/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method006/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method006/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method008/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method008/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method008/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method000/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method000/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method000/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method001/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method001/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method001/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method005/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method005/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method005/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method004/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method004/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method004/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method009/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method009/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method009/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method002/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method002/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method002/1[helpers.Context],logger,3
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method003/1[helpers.Context],classId,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method003/1[helpers.Context],dateFormat,1
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method003/1[helpers.Context],logger,3
