file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method006/1[helpers.Context],false,561,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,12,14,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method008/1[helpers.Context],false,739,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,11,14,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method000/1[helpers.Context],false,21,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,10,13,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method001/1[helpers.Context],false,109,5,13,23,61,4,11,1,23,0,0,0,0,1,2,8,10,14,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method005/1[helpers.Context],false,470,5,13,23,61,4,11,1,23,0,0,0,0,1,2,7,11,14,0,2,0,0,0,35,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method004/1[helpers.Context],false,382,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,11,13,0,2,0,0,0,33,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method009/1[helpers.Context],false,829,5,14,24,62,4,11,1,24,0,0,1,0,1,2,7,16,16,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method002/1[helpers.Context],false,200,5,13,23,60,4,11,1,23,0,0,0,0,1,2,9,11,14,0,2,0,0,0,41,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method003/1[helpers.Context],false,290,5,14,24,62,4,11,1,24,0,0,1,0,1,2,8,15,16,0,2,0,0,0,34,9,3,false
D:\UNIVERSIDAD\TFG\Repositorio\java-bullshifier-master\proyectoExtenso\src\main\java\generated\aadsj\fraix\bwdyv\mxmiu\bhiiw\Class001578.java,generated.aadsj.fraix.bwdyv.mxmiu.bhiiw.Class001578,method007/1[helpers.Context],false,651,5,13,23,59,4,10,1,23,0,0,0,0,1,2,7,11,13,0,2,0,0,0,35,9,3,false
