Nombre,Paquete,LOC,Resultado,Linea en clase,Destino
M:<init>(),paquete.Tercero,2,void,4,(M)paquete.Tercero:f5()
M:f5(),paquete.Tercero,2,void,9,(M)paquete.Tercero:f6()
M:f6(),paquete.Tercero,2,void,14,(M)paquete.Tercero:f7()
M:f7(),paquete.Tercero,2,void,19,(M)paquete.Tercero:f8()
M:<init>(),paquete.Main,3,void,7,(S)paquete.Main:f1()
M:main(java.lang.String[]),paquete.Main,4,void,14,(S)paquete.Main:f1()
M:main(java.lang.String[]),paquete.Main,4,void,14,(O)paquete.Tercero:<init>()
M:main(java.lang.String[]),paquete.Main,4,void,14,(M)paquete.Tercero:f5()
M:f1(),paquete.Main,5,void,21,(S)paquete.Main:f2()
M:f1(),paquete.Main,5,void,21,(O)paquete.Segundo:<init>()
M:f1(),paquete.Main,5,void,21,(M)paquete.Segundo:getList()
