LOC,Nombre,Nivel,WMC,Resultado,Linea en clase,Llamado por
0,<init>,0,0,void,0,[callgraph.ClassVisitorvisitMethod]
0,argumentList,0,0,java.lang.String,0,
13,start,0,7,java.util.HashMap,66,[callgraph.ClassVisitorvisitMethod]
0,getLineNumbers,1,0,int,0,
4,visitInstruction,1,2,boolean,84,
18,visitINVOKEVIRTUAL,0,5,void,91,
8,getMethod,1,3,org.apache.bcel.classfile.Method,208,
0,getLineNumbers,1,0,int,0,
18,visitINVOKEINTERFACE,0,5,void,114,
8,getMethod,1,3,org.apache.bcel.classfile.Method,208,
0,getLineNumbers,1,0,int,0,
18,visitINVOKESPECIAL,0,5,void,136,
8,getMethod,1,3,org.apache.bcel.classfile.Method,208,
0,getLineNumbers,1,0,int,0,
18,visitINVOKESTATIC,0,5,void,158,
8,getMethod,1,3,org.apache.bcel.classfile.Method,208,
0,getLineNumbers,1,0,int,0,
18,visitINVOKEDYNAMIC,0,5,void,180,
8,getMethod,1,3,org.apache.bcel.classfile.Method,208,
0,getLineNumbers,1,0,int,0,
6,isVisitable,0,3,boolean,201,[callgraph.ClassVisitorvisitMethod]
