file,class,method,variable,usage
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,add/1[java.lang.String],method,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,"addToList/2[java.lang.String,java.lang.String]",val,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,"addToList/2[java.lang.String,java.lang.String]",l,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\CalledFromList.java,callgraph.CalledFromList,"addToList/2[java.lang.String,java.lang.String]",key,4
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitMethod/1[callgraph.Method],method,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitMethod/1[callgraph.Method],mg,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitMethod/1[callgraph.Method],visitor,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,ClassVisitor/1[callgraph.JavaClass],jc,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitJavaClass/1[callgraph.JavaClass],method,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitJavaClass/1[callgraph.JavaClass],methods,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitJavaClass/1[callgraph.JavaClass],jc,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitJavaClass/1[callgraph.JavaClass],i,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitConstantPool/1[callgraph.ConstantPool],constant,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitConstantPool/1[callgraph.ConstantPool],referencedClass,0
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitConstantPool/1[callgraph.ConstantPool],i,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,visitConstantPool/1[callgraph.ConstantPool],constantPool,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,getMethodGen/1[java.lang.String],mg,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,getMethodGen/1[java.lang.String],nombre,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\ClassVisitor.java,callgraph.ClassVisitor,setMethodGenList/1[java.util.List<callgraph.MethodGen>],methodGenList,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"getMethodNameFromHandleIndex/2[callgraph.ConstantPool,int]",ref,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"getMethodNameFromHandleIndex/2[callgraph.ConstantPool,int]",nameAndType,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"getMethodNameFromHandleIndex/2[callgraph.ConstantPool,int]",callIndex,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"getMethodNameFromHandleIndex/2[callgraph.ConstantPool,int]",handle,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"getMethodNameFromHandleIndex/2[callgraph.ConstantPool,int]",cp,4
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],method,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],nameIndex,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],methodName,3
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],linkedName,5
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],cp,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,linkCalls/1[callgraph.Method],callerName,4
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,getBootstrapMethods/1[callgraph.JavaClass],jc,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,getBootstrapMethods/1[callgraph.JavaClass],attribute,2
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"retrieveCalls/2[callgraph.Method,callgraph.JavaClass]",calledIndex,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"retrieveCalls/2[callgraph.Method,callgraph.JavaClass]",code,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"retrieveCalls/2[callgraph.Method,callgraph.JavaClass]",bootIndex,1
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"retrieveCalls/2[callgraph.Method,callgraph.JavaClass]",method,5
D:\UNIVERSIDAD\TFG\Repositorio\TFG\TFG\src\main\java\callgraph\DynamicCallManager.java,callgraph.DynamicCallManager,"retrieveCalls/2[callgraph.Method,callgraph.JavaClass]",boots,1
